material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,power,voltage,current,price,currency,rank,is leaf
1,Acura Sweden F26989,3,6,alternator fan,2,Acura,Sweden,304.0,535.82,mm,2.11,kg,24,12,2.5,83.8,eur,4.5,True
2,GMC Korea F35391,3,6,alternator fan,2,GMC,Korea,323.0,510.4,mm,2.42,kg,36,12,3.0,85.12,eur,4.5,True
3,Mercedes Austria F7106,3,6,alternator fan,2,Mercedes,Austria,292.0,545.53,mm,2.24,kg,36,12,2.5,112.77,eur,3.5,True
4,Volkswagen Netherlands F30535,3,6,alternator fan,2,Volkswagen,Netherlands,272.0,542.12,mm,2.48,kg,36,12,3.0,120.24,eur,4.0,True
5,BMW Japan F34366,3,6,alternator fan,2,BMW,Japan,282.0,568.53,mm,1.36,kg,36,12,2.5,136.51,eur,4.0,True
6,Ferrari Japan F39167,3,6,alternator fan,2,Ferrari,Japan,317.0,578.1,mm,2.35,kg,36,12,3.0,125.02,eur,4.5,True
7,Daimler USA F7077,3,6,alternator fan,2,Daimler,USA,301.0,594.04,mm,1.52,kg,24,12,2.5,130.24,eur,4.5,True
8,Buick Mexico F35341,3,6,alternator fan,2,Buick,Mexico,267.0,580.22,mm,2.9,kg,36,12,2.5,134.06,eur,4.5,True
9,Tesla France F2033,3,6,alternator fan,2,Tesla,France,298.0,508.87,mm,1.23,kg,36,12,2.5,76.34,eur,4.0,True
10,Daimler Netherlands F29196,3,6,alternator fan,2,Daimler,Netherlands,313.0,567.94,mm,1.36,kg,36,12,3.0,116.23,eur,4.5,True
11,Lincoln Brazil F23499,3,6,alternator fan,2,Lincoln,Brazil,251.0,596.66,mm,1.06,kg,36,12,3.0,125.27,eur,3.5,True
12,GMC Korea F20381,3,6,alternator fan,2,GMC,Korea,324.0,507.64,mm,1.71,kg,24,12,2.5,106.47,eur,5.0,True
13,Buick Norway F27331,3,6,alternator fan,2,Buick,Norway,258.0,522.63,mm,1.02,kg,36,12,2.5,90.72,eur,3.0,True
14,Mercedes China F17693,3,6,alternator fan,2,Mercedes,China,304.0,574.19,mm,2.86,kg,36,12,2.5,98.1,eur,4.0,True
