material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,Volvo Cuba R13368,3,7,electrical ring,2,Volvo,Cuba,442.0,6.52,mm,0.34,kg,14.9,eur,4.5,True
2,Daimler Romania R37839,3,7,electrical ring,2,Daimler,Romania,332.0,5.59,mm,0.52,kg,23.85,eur,5.0,True
3,Jeep Norway R34692,3,7,electrical ring,2,Jeep,Norway,327.0,5.01,mm,0.49,kg,18.51,eur,4.0,True
4,Acura Thailand R22424,3,7,electrical ring,2,Acura,Thailand,495.0,6.89,mm,0.37,kg,22.08,eur,4.5,True
5,Tesla Chile R31056,3,7,electrical ring,2,Tesla,Chile,349.0,6.42,mm,0.91,kg,23.76,eur,4.0,True
6,Ford France R4196,3,7,electrical ring,2,Ford,France,357.0,6.19,mm,0.92,kg,16.83,eur,4.0,True
7,GMC Thailand R12324,3,7,electrical ring,2,GMC,Thailand,456.0,6.33,mm,0.48,kg,12.88,eur,4.0,True
8,Honda Mexico R30112,3,7,electrical ring,2,Honda,Mexico,446.0,5.77,mm,0.59,kg,13.98,eur,3.5,True
9,BMW Thailand R27884,3,7,electrical ring,2,BMW,Thailand,411.0,5.28,mm,0.45,kg,16.4,eur,5.0,True
10,Mercedes France R29333,3,7,electrical ring,2,Mercedes,France,373.0,5.64,mm,0.44,kg,14.16,eur,3.5,True
11,Hyundai Denmark R1602,3,7,electrical ring,2,Hyundai,Denmark,418.0,5.67,mm,0.58,kg,17.1,eur,4.0,True
12,Hyundai Netherlands R17871,3,7,electrical ring,2,Hyundai,Netherlands,425.0,6.79,mm,0.78,kg,15.52,eur,3.0,True
13,Volvo Norway R6620,3,7,electrical ring,2,Volvo,Norway,421.0,5.18,mm,0.63,kg,10.04,eur,4.5,True
14,Acura Canada R4446,3,7,electrical ring,2,Acura,Canada,405.0,6.17,mm,0.83,kg,11.72,eur,4.5,True
15,Volkswagen Belgium R34407,3,7,electrical ring,2,Volkswagen,Belgium,417.0,5.05,mm,0.28,kg,24.75,eur,4.5,True
16,Toyota Mexico R26179,3,7,electrical ring,2,Toyota,Mexico,324.0,5.69,mm,0.64,kg,14.43,eur,3.0,True
