material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,Volvo Cuba R13368,3,7,electrical ring,2,Volvo,Cuba,0.71,0.7599999999999998,mm,0.17500000000000002,kg,0.3266666666666667,eur,0.75,True
2,Daimler Romania R37839,3,7,electrical ring,2,Daimler,Romania,0.16,0.29499999999999993,mm,0.39999999999999997,kg,0.9233333333333335,eur,1.0,True
3,Jeep Norway R34692,3,7,electrical ring,2,Jeep,Norway,0.135,0.004999999999999893,mm,0.36249999999999993,kg,0.5673333333333335,eur,0.5,True
4,Acura Thailand R22424,3,7,electrical ring,2,Acura,Thailand,0.975,0.9449999999999998,mm,0.21249999999999997,kg,0.8053333333333332,eur,0.75,True
5,Tesla Chile R31056,3,7,electrical ring,2,Tesla,Chile,0.245,0.71,mm,0.8875,kg,0.9173333333333334,eur,0.5,True
6,Ford France R4196,3,7,electrical ring,2,Ford,France,0.285,0.5950000000000002,mm,0.8999999999999999,kg,0.4553333333333332,eur,0.5,True
7,GMC Thailand R12324,3,7,electrical ring,2,GMC,Thailand,0.78,0.665,mm,0.3499999999999999,kg,0.19200000000000006,eur,0.5,True
8,Honda Mexico R30112,3,7,electrical ring,2,Honda,Mexico,0.73,0.3849999999999998,mm,0.48749999999999993,kg,0.26533333333333337,eur,0.25,True
9,BMW Thailand R27884,3,7,electrical ring,2,BMW,Thailand,0.555,0.14000000000000012,mm,0.3125,kg,0.4266666666666666,eur,1.0,True
10,Mercedes France R29333,3,7,electrical ring,2,Mercedes,France,0.365,0.31999999999999984,mm,0.3,kg,0.2773333333333333,eur,0.25,True
11,Hyundai Denmark R1602,3,7,electrical ring,2,Hyundai,Denmark,0.59,0.33499999999999996,mm,0.4749999999999999,kg,0.47333333333333344,eur,0.5,True
12,Hyundai Netherlands R17871,3,7,electrical ring,2,Hyundai,Netherlands,0.625,0.895,mm,0.7250000000000001,kg,0.368,eur,0.0,True
13,Volvo Norway R6620,3,7,electrical ring,2,Volvo,Norway,0.605,0.08999999999999986,mm,0.5375,kg,0.0026666666666666098,eur,0.75,True
14,Acura Canada R4446,3,7,electrical ring,2,Acura,Canada,0.525,0.585,mm,0.7874999999999999,kg,0.11466666666666671,eur,0.75,True
15,Volkswagen Belgium R34407,3,7,electrical ring,2,Volkswagen,Belgium,0.585,0.02499999999999991,mm,0.10000000000000002,kg,0.9833333333333333,eur,0.75,True
16,Toyota Mexico R26179,3,7,electrical ring,2,Toyota,Mexico,0.12,0.3450000000000002,mm,0.5499999999999999,kg,0.29533333333333334,eur,0.0,True
17,GMC Chile R17737,3,7,electrical ring,2,GMC,Chile,0.895,0.17499999999999982,mm,0.9875,kg,0.294,eur,0.75,True
18,Ferrari Chile R34180,3,7,electrical ring,2,Ferrari,Chile,0.57,0.20500000000000007,mm,0.6625,kg,0.3606666666666667,eur,0.0,True
19,Volkswagen Korea R22478,3,7,electrical ring,2,Volkswagen,Korea,0.5,0.30500000000000016,mm,0.325,kg,0.21533333333333335,eur,0.75,True
