material ID,description,type,category,category description,hierarchy category,type description,level,number of piston,displacement,displacement uom,cylinder bore,pistol,length,width,height,length uom,weight,weight uom,top speed,speed uom,power,power uom,Torque,torque uom,accelerate,accelerate uom,horsepower,horsepower uom,rotating speed,rotating speed uom,build time,time uom,price,currency,rank,is leaf
1,M160,0.0,1,engine,,Straight-three,1,0.0,0.0,L,0.1310344827586201,0.8907103825136612,0.17241379310344832,0.5465953269948806,0.5243092326947145,mm,0.02705663868487868,kg,0.1724137931034483,kmph,0.016673614005835766,kw,0.01728795245813074,npm,0.6507936507936509,s,0.01882673942701228,ps,0.016680567139282735,rpm,0.0380952380952381,h,0.005927402211554116,eur,0.0,False
2,M281,0.0,1,engine,,Straight-three,1,0.0,0.006928406466512703,L,0.09655172413793045,0.53551912568306,0.9708618453419205,0.2135955964432812,0.9500978787587046,mm,0.020316914774884134,kg,0.10344827586206896,kmph,0.008336807002917883,kw,0.010804970286331712,npm,0.7777777777777777,s,0.011186903137789904,ps,0.008340283569641367,rpm,0.06666666666666667,h,0.0029607223965594513,eur,0.0,False
3,M23,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.013856812933025407,L,0.23448275862068907,0.9016393442622952,0.3534594570419071,0.8822510489241309,0.5586149353358364,mm,0.02842958750161956,kg,0.20689655172413793,kmph,0.01834097540641934,kw,0.0189086980010805,npm,0.6031746031746031,s,0.03192360163710778,ps,0.01834862385321101,rpm,0.08571428571428572,h,0.006505386365508471,eur,0.0,False
4,M30,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.01847575057736721,L,0.1999999999999994,0.6830601092896176,0.7866183639697659,0.074752684860849,0.3645261705336798,mm,0.06867244487178616,kg,0.034482758620689655,kmph,0.0016673614005835765,kw,0.0032414910858995136,npm,0.9206349206349206,s,0.01800818553888131,ps,0.0016680567139282735,rpm,0.01904761904761905,h,0.0005822230863024877,eur,0.0,False
5,M136,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.02540415704387991,L,0.544827586206896,0.4972677595628421,0.23022049286640733,0.15966742368836376,0.9955392959147653,mm,0.021539839383173224,kg,0.13793103448275862,kmph,0.011254689453939141,kw,0.01620745542949757,npm,0.7142857142857142,s,0.004092769440654843,ps,0.010842368640533779,rpm,0.02857142857142857,h,0.003991241220111375,eur,0.5,False
6,M121,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.030023094688221712,L,0.6068965517241377,0.7978142076502738,0.8452971957600964,0.5634550983486663,0.08080613587497176,mm,0.04601197011335918,kg,0.034482758620689655,kmph,0.0016673614005835765,kw,0.005942733657482442,npm,0.9206349206349206,s,0.008731241473397,ps,0.0016680567139282735,rpm,0.0761904761904762,h,0.0006227793579575601,eur,0.25,False
7,M118,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.02540415704387991,L,0.13793103448275862,0.31147540983606575,0.8483608390357349,0.17722006235805832,0.1378004556978274,mm,0.027645370048348696,kg,0.10344827586206896,kmph,0.008336807002917883,kw,0.012965964343598054,npm,0.7777777777777777,s,0.008731241473397,ps,0.008340283569641367,rpm,0.01904761904761905,h,0.002948463862471622,eur,1.0,False
8,M115,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.03695150115473441,L,0.26896551724137874,0.3169398907103824,0.9982333735855808,0.8636976019092345,0.5914444337473121,mm,0.014168195322427038,kg,0.13793103448275862,kmph,0.010837849103793247,kw,0.014586709886547812,npm,0.7142857142857142,s,0.027557980900409278,ps,0.010842368640533779,rpm,0.05714285714285714,h,0.0039084101907141495,eur,0.0,False
9,M102,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.041570438799076216,L,0.6827586206896545,0.33333333333333387,0.7533431727715907,0.47850186689248997,0.5784474182471679,mm,0.07158200527812446,kg,0.1724137931034483,kmph,0.01792413505627345,kw,0.017828200972447326,npm,0.6507936507936509,s,0.02373806275579809,ps,0.01751459549624687,rpm,0.02857142857142857,h,0.006371000753498865,eur,1.0,False
10,M111,0.16666666666666666,1,engine,,Inline-four,1,0.1111111111111111,0.03695150115473441,L,0.9793103448275864,0.7103825136612023,0.2730891363656693,0.5201508911043535,0.22601970411732597,mm,0.04960573183400047,kg,0.0,kmph,0.0,kw,0.0,npm,1.0,s,0.0330150068212824,ps,0.0,rpm,0.0761904761904762,h,0.0,eur,0.0,False
