material ID,description,level,category,category description,hierarchy category,provider,country,bore,bore type,bore type description,stroke,stroke type,stroke type description,size uom,weight,weight uom,price,currency,rank,is leaf
1,Ferrari France P12688,2,3,pistons,1,Ferrari,France,0.52,1.0,small,0.6727272727272727,1.0,long,mm,0.15999999999999992,kg,0.1113667050057509,eur,0.25,True
2,BYD Egypt P38229,2,3,pistons,1,BYD,Egypt,0.74,1.0,small,0.4909090909090909,1.0,long,mm,0.2549999999999999,kg,0.3334500175026254,eur,1.0,True
3,GMC Romania P28978,2,3,pistons,1,GMC,Romania,0.48,0.0,big,0.05454545454545454,0.0,short,mm,0.9950000000000001,kg,0.27219082862429367,eur,0.25,True
4,Daimler Brazil P9801,2,3,pistons,1,Daimler,Brazil,0.84,1.0,small,0.0,0.0,short,mm,0.15999999999999992,kg,0.878831824773716,eur,0.5,True
5,Mercedes Switzerland P20843,2,3,pistons,1,Mercedes,Switzerland,0.96,1.0,small,0.8545454545454545,1.0,long,mm,0.815,kg,0.10881632244836734,eur,0.0,True
6,BYD Belgium P22255,2,3,pistons,1,BYD,Belgium,0.38,0.0,big,0.41818181818181815,1.0,long,mm,0.895,kg,0.4063609541431215,eur,0.0,True
7,Toyota Austria P20205,2,3,pistons,1,Toyota,Austria,0.5,0.0,big,0.4,1.0,long,mm,0.855,kg,0.9760964144621692,eur,0.5,True
8,GMC Turkey P35882,2,3,pistons,1,GMC,Turkey,0.22,0.0,big,0.32727272727272727,1.0,long,mm,0.95,kg,0.6585987898184726,eur,1.0,True
9,GMC India P11827,2,3,pistons,1,GMC,India,0.6,1.0,small,0.4727272727272727,1.0,long,mm,0.5700000000000001,kg,0.28989348402260334,eur,0.75,True
10,Ford France P21099,2,3,pistons,1,Ford,France,0.92,1.0,small,0.509090909090909,1.0,long,mm,0.014999999999999902,kg,0.5490823623543531,eur,0.5,True
11,Ferrari Norway P28736,2,3,pistons,1,Ferrari,Norway,0.18,0.0,big,0.32727272727272727,1.0,long,mm,0.605,kg,0.8128219232884932,eur,0.75,True
12,Volvo Thailand P36838,2,3,pistons,1,Volvo,Thailand,0.34,0.0,big,0.03636363636363636,0.0,short,mm,0.29000000000000004,kg,0.2761914287143072,eur,0.25,True
13,GMC Chile P27409,2,3,pistons,1,GMC,Chile,0.3,0.0,big,0.10909090909090909,0.0,short,mm,0.815,kg,0.8182727409111366,eur,1.0,True
14,Ford Cuba P38059,2,3,pistons,1,Ford,Cuba,0.72,1.0,small,0.509090909090909,1.0,long,mm,0.655,kg,0.36225433815072255,eur,0.75,True
15,Jeep Japan P20403,2,3,pistons,1,Jeep,Japan,0.78,1.0,small,0.9090909090909091,1.0,long,mm,0.7849999999999999,kg,0.44521678251737756,eur,0.0,True
16,Jeep Cuba P4234,2,3,pistons,1,Jeep,Cuba,0.08,0.0,big,0.03636363636363636,0.0,short,mm,0.6599999999999999,kg,0.7808671300695105,eur,0.75,True
17,Ferrari Romania P26417,2,3,pistons,1,Ferrari,Romania,0.14,0.0,big,0.2727272727272727,0.0,short,mm,0.925,kg,0.8286242936440464,eur,0.25,True
18,Volkswagen Sweden P30678,2,3,pistons,1,Volkswagen,Sweden,0.86,1.0,small,0.36363636363636365,1.0,long,mm,0.5049999999999999,kg,0.10971645746862027,eur,0.0,True
19,Jeep Korea P26934,2,3,pistons,1,Jeep,Korea,0.2,0.0,big,0.9272727272727272,1.0,long,mm,0.41500000000000004,kg,0.31419712956943546,eur,1.0,True
20,GMC Mexico P13994,2,3,pistons,1,GMC,Mexico,0.92,1.0,small,0.9454545454545454,1.0,long,mm,0.5049999999999999,kg,0.30169525428814326,eur,0.75,True
