material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,power,voltage,current,frequency,rotation speed,price,currency,rank,is leaf
1,KTM Cuba P18912,2,2,alternator,1,KTM,Cuba,541.27,379.84,638.14,mm,2.07,kg,980,12,75,50,6000,173.42,eur,4.5,False
2,Lincoln Indonesia P2265,2,2,alternator,1,Lincoln,Indonesia,523.25,342.87,703.71,mm,3.63,kg,980,24,80,50,6000,231.4,eur,4.0,False
3,Hyundai Austria P26541,2,2,alternator,1,Hyundai,Austria,595.78,313.33,610.06,mm,2.65,kg,1960,12,75,50,6000,197.61,eur,4.5,False
4,Lincoln India P35859,2,2,alternator,1,Lincoln,India,567.19,349.3,681.63,mm,2.07,kg,900,24,80,50,6000,184.85,eur,4.0,False
5,Acura Italy P35463,2,2,alternator,1,Acura,Italy,523.15,393.73,643.87,mm,2.9,kg,1800,12,80,50,6000,136.2,eur,3.5,False
6,Lincoln Chile P31295,2,2,alternator,1,Lincoln,Chile,563.15,415.96,702.86,mm,2.52,kg,1800,12,75,50,6000,144.65,eur,3.5,False
7,Jeep Turkey P35573,2,2,alternator,1,Jeep,Turkey,509.27,351.01,608.45,mm,2.19,kg,980,12,80,50,6000,173.75,eur,5.0,False
8,Ferrari Sweden P22726,2,2,alternator,1,Ferrari,Sweden,557.72,389.6,672.34,mm,2.98,kg,980,12,75,50,6000,185.49,eur,4.5,False
9,Acura Cuba P4699,2,2,alternator,1,Acura,Cuba,566.89,376.25,630.15,mm,2.47,kg,900,12,80,50,6000,115.63,eur,4.5,False
10,Toyota Indonesia P27538,2,2,alternator,1,Toyota,Indonesia,478.87,417.09,644.28,mm,3.2,kg,900,12,75,50,6000,232.88,eur,4.0,False
11,Daimler Egypt P7797,2,2,alternator,1,Daimler,Egypt,598.89,387.15,647.88,mm,2.57,kg,1960,12,80,50,6000,241.95,eur,3.0,False
12,Volkswagen France P20368,2,2,alternator,1,Volkswagen,France,515.24,374.5,709.22,mm,2.54,kg,1960,24,80,50,6000,155.82,eur,4.5,False
13,Honda Korea P11838,2,2,alternator,1,Honda,Korea,518.62,335.66,618.78,mm,3.44,kg,1800,12,80,50,6000,125.73,eur,4.5,False
14,KTM Netherlands P22016,2,2,alternator,1,KTM,Netherlands,490.83,395.75,612.12,mm,2.86,kg,980,24,75,50,6000,234.51,eur,3.5,False
15,Ford Denmark P10918,2,2,alternator,1,Ford,Denmark,476.24,309.32,692.17,mm,2.59,kg,900,12,80,50,6000,174.2,eur,4.0,False
16,Hyundai Russia P5810,2,2,alternator,1,Hyundai,Russia,550.73,388.39,664.48,mm,2.94,kg,900,12,75,50,6000,171.36,eur,3.5,False
17,Acura Thailand P21782,2,2,alternator,1,Acura,Thailand,518.44,400.86,695.28,mm,2.89,kg,980,24,75,50,6000,131.04,eur,4.0,False
18,Ford Chile P10584,2,2,alternator,1,Ford,Chile,542.84,302.24,606.21,mm,2.41,kg,1960,12,80,50,6000,217.77,eur,4.5,False
19,Honda Germany P17343,2,2,alternator,1,Honda,Germany,502.4,342.58,600.47,mm,3.97,kg,900,24,80,50,6000,237.07,eur,4.0,False
20,Acura Denmark P18560,2,2,alternator,1,Acura,Denmark,506.39,331.41,696.12,mm,2.84,kg,980,12,75,50,6000,167.62,eur,5.0,False
21,Volvo Indonesia P7268,2,2,alternator,1,Volvo,Indonesia,538.54,379.43,662.36,mm,3.24,kg,1960,12,80,50,6000,232.07,eur,5.0,False
22,Mercedes USA P32288,2,2,alternator,1,Mercedes,USA,579.2,337.45,704.92,mm,3.81,kg,980,24,80,50,6000,232.16,eur,5.0,False
23,Hyundai India P22726,2,2,alternator,1,Hyundai,India,518.86,331.66,642.23,mm,3.67,kg,980,12,75,50,6000,115.79,eur,5.0,False
24,Volvo Chile P5855,2,2,alternator,1,Volvo,Chile,457.54,368.07,708.93,mm,2.57,kg,1800,24,80,50,6000,101.46,eur,4.0,False
