material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,power,voltage,current,frequency,rotation speed,price,currency,rank,is leaf
1,KTM Cuba P18912,2,2,alternator,1,KTM,Cuba,0.6087101507269571,0.6653333333333331,0.34663999272528867,mm,0.03499999999999992,kg,0.07547169811320754,0.0,0.0,0,0,0.4894666666666666,eur,0.75,False
2,Lincoln Indonesia P2265,2,2,alternator,1,Lincoln,Indonesia,0.4885287448312657,0.35725,0.9428935164135676,mm,0.815,kg,0.07547169811320754,1.0,1.0,0,0,0.876,eur,0.5,False
3,Hyundai Austria P26541,2,2,alternator,1,Hyundai,Austria,0.9722555688942238,0.1110833333333332,0.09129762662544295,mm,0.32499999999999996,kg,1.0,0.0,0.0,0,0,0.6507333333333334,eur,0.75,False
4,Lincoln India P35859,2,2,alternator,1,Lincoln,India,0.7815792983860211,0.41083333333333344,0.742111484950441,mm,0.03499999999999992,kg,0.0,1.0,1.0,0,0,0.5656666666666667,eur,0.5,False
5,Acura Italy P35463,2,2,alternator,1,Acura,Italy,0.4878618113912228,0.7810833333333335,0.3987451123033556,mm,0.44999999999999996,kg,0.8490566037735849,0.0,1.0,0,0,0.24133333333333326,eur,0.25,False
6,Lincoln Chile P31295,2,2,alternator,1,Lincoln,Chile,0.7546351874082963,0.9663333333333332,0.9351641356733655,mm,0.26,kg,0.8490566037735849,0.0,0.0,0,0,0.2976666666666667,eur,0.25,False
7,Jeep Turkey P35573,2,2,alternator,1,Jeep,Turkey,0.3952914499132984,0.42508333333333326,0.0766572701645909,mm,0.09499999999999997,kg,0.07547169811320754,0.0,1.0,0,0,0.49166666666666664,eur,1.0,False
8,Ferrari Sweden P22726,2,2,alternator,1,Ferrari,Sweden,0.7184207016139789,0.7466666666666668,0.6576339001545879,mm,0.49,kg,0.07547169811320754,0.0,0.0,0,0,0.5699333333333334,eur,0.75,False
9,Acura Cuba P4699,2,2,alternator,1,Acura,Cuba,0.7795784980658926,0.6354166666666666,0.273983813767391,mm,0.2350000000000001,kg,0.0,0.0,1.0,0,0,0.10419999999999997,eur,0.75,False
10,Toyota Indonesia P27538,2,2,alternator,1,Toyota,Indonesia,0.19254368414032275,0.9757499999999998,0.4024734018368644,mm,0.6000000000000001,kg,0.0,0.0,0.0,0,0,0.8858666666666667,eur,0.5,False
11,Daimler Egypt P7797,2,2,alternator,1,Daimler,Egypt,0.9929971988795514,0.7262499999999998,0.4352096026188961,mm,0.2849999999999999,kg,1.0,0.0,1.0,0,0,0.9463333333333332,eur,0.0,False
12,Volkswagen France P20368,2,2,alternator,1,Volkswagen,France,0.43510737628384677,0.6208333333333333,0.9929980903882879,mm,0.27,kg,1.0,1.0,1.0,0,0,0.37213333333333326,eur,0.75,False
13,Honda Korea P11838,2,2,alternator,1,Honda,Korea,0.45764972655728947,0.29716666666666686,0.17059197963080827,mm,0.72,kg,0.8490566037735849,0.0,1.0,0,0,0.17153333333333337,eur,0.75,False
14,KTM Netherlands P22016,2,2,alternator,1,KTM,Netherlands,0.27230892356942754,0.7979166666666667,0.11003000818405037,mm,0.42999999999999994,kg,0.07547169811320754,1.0,0.0,0,0,0.8967333333333333,eur,0.25,False
15,Ford Denmark P10918,2,2,alternator,1,Ford,Denmark,0.17500333466720022,0.0776666666666666,0.8379558061289438,mm,0.29499999999999993,kg,0.0,0.0,1.0,0,0,0.4946666666666666,eur,0.5,False
16,Hyundai Russia P5810,2,2,alternator,1,Hyundai,Russia,0.6718020541549952,0.7365833333333333,0.5861598617804857,mm,0.47,kg,0.0,0.0,0.0,0,0,0.4757333333333334,eur,0.25,False
17,Acura Thailand P21782,2,2,alternator,1,Acura,Thailand,0.45644924636521295,0.8405000000000001,0.8662362462489767,mm,0.44500000000000006,kg,0.07547169811320754,1.0,0.0,0,0,0.20693333333333327,eur,0.5,False
18,Ford Chile P10584,2,2,alternator,1,Ford,Chile,0.6191810057356276,0.01866666666666674,0.05628807856688236,mm,0.20500000000000007,kg,1.0,0.0,1.0,0,0,0.7851333333333333,eur,0.75,False
19,Honda Germany P17343,2,2,alternator,1,Honda,Germany,0.349473122582366,0.3548333333333332,0.004092025097754345,mm,0.9850000000000001,kg,0.0,1.0,1.0,0,0,0.9138,eur,0.5,False
20,Acura Denmark P18560,2,2,alternator,1,Acura,Denmark,0.3760837668400691,0.2617500000000002,0.8738746930981176,mm,0.41999999999999993,kg,0.07547169811320754,0.0,0.0,0,0,0.45080000000000003,eur,1.0,False
