material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,power,voltage,current,price,currency,rank,is leaf
1,Acura Sweden F26989,3,6,alternator fan,2,Acura,Sweden,0.54,0.35814325730292174,mm,0.5549999999999999,kg,0.0,0,0.0,0.11733333333333329,eur,0.75,True
2,GMC Korea F35391,3,6,alternator fan,2,GMC,Korea,0.73,0.10384153661464578,mm,0.71,kg,1.0,0,1.0,0.1349333333333334,eur,0.75,True
3,Mercedes Austria F7106,3,6,alternator fan,2,Mercedes,Austria,0.42,0.4552821128451378,mm,0.6200000000000001,kg,1.0,0,0.0,0.5035999999999999,eur,0.25,True
4,Volkswagen Netherlands F30535,3,6,alternator fan,2,Volkswagen,Netherlands,0.22,0.42116846738695485,mm,0.74,kg,1.0,0,1.0,0.6032,eur,0.5,True
5,BMW Japan F34366,3,6,alternator fan,2,BMW,Japan,0.32,0.6853741496598637,mm,0.18000000000000005,kg,1.0,0,0.0,0.8201333333333332,eur,0.5,True
6,Ferrari Japan F39167,3,6,alternator fan,2,Ferrari,Japan,0.67,0.7811124449779914,mm,0.675,kg,1.0,0,1.0,0.6669333333333333,eur,0.75,True
7,Daimler USA F7077,3,6,alternator fan,2,Daimler,USA,0.51,0.9405762304921964,mm,0.26,kg,0.0,0,0.0,0.7365333333333335,eur,0.75,True
8,Buick Mexico F35341,3,6,alternator fan,2,Buick,Mexico,0.17,0.8023209283713487,mm,0.95,kg,1.0,0,0.0,0.7874666666666666,eur,0.75,True
9,Tesla France F2033,3,6,alternator fan,2,Tesla,France,0.48,0.08853541416566646,mm,0.11499999999999999,kg,1.0,0,0.0,0.01786666666666671,eur,0.5,True
10,Daimler Netherlands F29196,3,6,alternator fan,2,Daimler,Netherlands,0.63,0.6794717887154866,mm,0.18000000000000005,kg,1.0,0,1.0,0.5497333333333334,eur,0.75,True
11,Lincoln Brazil F23499,3,6,alternator fan,2,Lincoln,Brazil,0.01,0.9667867146858738,mm,0.030000000000000027,kg,1.0,0,1.0,0.6702666666666666,eur,0.25,True
12,GMC Korea F20381,3,6,alternator fan,2,GMC,Korea,0.74,0.07623049219687877,mm,0.355,kg,0.0,0,0.0,0.4196,eur,1.0,True
