material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,Toyota Canada AS3948,3,8,alternator skeleton,2,Toyota,Canada,565.21,389.08,648.9,mm,4.15,kg,346.75,eur,3.5,True
2,KTM Norway AS10103,3,8,alternator skeleton,2,KTM,Norway,581.17,449.89,551.62,mm,4.54,kg,262.13,eur,4.0,True
3,Mercedes France AS30358,3,8,alternator skeleton,2,Mercedes,France,555.89,419.52,538.83,mm,4.09,kg,292.03,eur,3.0,True
4,Mercedes Japan AS1627,3,8,alternator skeleton,2,Mercedes,Japan,568.96,411.06,532.46,mm,7.99,kg,169.09,eur,4.0,True
5,Hyundai Japan AS4578,3,8,alternator skeleton,2,Hyundai,Japan,553.19,405.74,575.63,mm,6.93,kg,248.18,eur,5.0,True
6,Daimler Norway AS8437,3,8,alternator skeleton,2,Daimler,Norway,568.15,400.43,533.24,mm,6.85,kg,199.11,eur,3.5,True
7,BMW Mexico AS12514,3,8,alternator skeleton,2,BMW,Mexico,570.79,355.53,560.42,mm,7.74,kg,172.04,eur,3.5,True
8,Jeep Thailand AS5254,3,8,alternator skeleton,2,Jeep,Thailand,599.06,368.15,534.6,mm,7.16,kg,264.01,eur,5.0,True
9,Lincoln Chile AS10706,3,8,alternator skeleton,2,Lincoln,Chile,590.77,429.37,561.97,mm,7.96,kg,311.49,eur,3.5,True
10,Buick Brazil AS35562,3,8,alternator skeleton,2,Buick,Brazil,584.35,395.26,526.06,mm,7.42,kg,272.16,eur,4.5,True
11,KTM Russia AS38428,3,8,alternator skeleton,2,KTM,Russia,594.28,412.18,575.79,mm,7.2,kg,179.19,eur,3.0,True
12,Daimler Switzerland AS8936,3,8,alternator skeleton,2,Daimler,Switzerland,582.26,390.04,606.62,mm,4.01,kg,336.73,eur,3.5,True
13,KTM Russia AS20805,3,8,alternator skeleton,2,KTM,Russia,593.01,371.24,626.93,mm,4.51,kg,122.47,eur,3.5,True
14,Jeep New Zealand AS17121,3,8,alternator skeleton,2,Jeep,New,592.98,442.8,538.18,mm,7.18,kg,230.68,eur,4.5,True
15,Volvo Indonesia AS39070,3,8,alternator skeleton,2,Volvo,Indonesia,557.42,433.28,535.73,mm,5.34,kg,269.98,eur,4.0,True
16,Toyota Indonesia AS7542,3,8,alternator skeleton,2,Toyota,Indonesia,583.52,428.66,595.7,mm,5.65,kg,345.56,eur,4.5,True
17,Benz France AS28792,3,8,alternator skeleton,2,Benz,France,553.83,405.24,617.65,mm,4.77,kg,281.2,eur,4.0,True
18,Ferrari Denmark AS39691,3,8,alternator skeleton,2,Ferrari,Denmark,551.99,402.36,616.42,mm,7.3,kg,272.62,eur,5.0,True
19,Tesla Turkey AS2202,3,8,alternator skeleton,2,Tesla,Turkey,572.92,399.03,641.51,mm,6.18,kg,151.07,eur,4.0,True
20,Ford Denmark AS11534,3,8,alternator skeleton,2,Ford,Denmark,591.09,419.02,568.47,mm,7.29,kg,227.52,eur,4.5,True
21,Volvo Egypt AS14987,3,8,alternator skeleton,2,Volvo,Egypt,595.91,434.15,525.36,mm,4.82,kg,149.19,eur,3.5,True
22,Ford France AS2843,3,8,alternator skeleton,2,Ford,France,582.79,416.95,626.61,mm,5.25,kg,210.3,eur,3.5,True
23,BYD Japan AS39398,3,8,alternator skeleton,2,BYD,Japan,586.57,360.06,503.64,mm,5.3,kg,277.35,eur,4.0,True
24,Ford Cuba AS17744,3,8,alternator skeleton,2,Ford,Cuba,583.26,400.07,514.43,mm,6.11,kg,229.6,eur,5.0,True
25,Benz Brazil AS4613,3,8,alternator skeleton,2,Benz,Brazil,557.53,417.36,584.46,mm,7.41,kg,342.8,eur,4.0,True
26,Acura Russia AS35658,3,8,alternator skeleton,2,Acura,Russia,581.1,422.26,608.8,mm,4.28,kg,277.33,eur,4.5,True
27,GMC Brazil AS3064,3,8,alternator skeleton,2,GMC,Brazil,575.45,421.84,649.2,mm,6.15,kg,152.02,eur,4.5,True
28,Tesla India AS34164,3,8,alternator skeleton,2,Tesla,India,558.76,389.44,590.27,mm,4.61,kg,310.05,eur,4.0,True
29,Ford Canada AS11492,3,8,alternator skeleton,2,Ford,Canada,592.8,432.3,526.35,mm,6.99,kg,318.7,eur,4.0,True
30,Jeep Chile AS24090,3,8,alternator skeleton,2,Jeep,Chile,589.5,436.01,520.74,mm,5.95,kg,141.79,eur,3.5,True
31,Lincoln Austria AS9464,3,8,alternator skeleton,2,Lincoln,Austria,561.77,405.55,541.34,mm,7.95,kg,326.11,eur,4.0,True
32,Mercedes Germany AS19320,3,8,alternator skeleton,2,Mercedes,Germany,575.01,410.79,601.85,mm,6.27,kg,217.07,eur,5.0,True
33,Toyota Germany AS9866,3,8,alternator skeleton,2,Toyota,Germany,577.21,394.79,642.58,mm,6.24,kg,133.81,eur,5.0,True
34,BYD Mexico AS26037,3,8,alternator skeleton,2,BYD,Mexico,571.78,439.26,623.66,mm,6.46,kg,137.04,eur,5.0,True
35,Hyundai Cuba AS31365,3,8,alternator skeleton,2,Hyundai,Cuba,555.65,442.39,639.17,mm,5.93,kg,340.43,eur,3.5,True
36,KTM Japan AS37278,3,8,alternator skeleton,2,KTM,Japan,584.08,376.52,591.67,mm,6.74,kg,155.73,eur,4.0,True
37,Buick Japan AS18962,3,8,alternator skeleton,2,Buick,Japan,586.04,429.94,641.14,mm,6.6,kg,127.68,eur,4.5,True
38,Daimler Italy AS16508,3,8,alternator skeleton,2,Daimler,Italy,582.76,411.56,621.01,mm,5.5,kg,328.35,eur,3.5,True
39,BYD USA AS27413,3,8,alternator skeleton,2,BYD,USA,590.07,407.96,538.94,mm,6.26,kg,181.81,eur,3.0,True
40,GMC Denmark AS18109,3,8,alternator skeleton,2,GMC,Denmark,572.92,381.19,588.52,mm,5.67,kg,188.21,eur,4.5,True
41,Acura Italy AS32285,3,8,alternator skeleton,2,Acura,Italy,596.73,435.97,647.44,mm,5.79,kg,169.56,eur,5.0,True
42,Volkswagen Netherlands AS38959,3,8,alternator skeleton,2,Volkswagen,Netherlands,561.6,405.33,525.25,mm,5.24,kg,194.08,eur,4.5,True
43,Ferrari Canada AS21337,3,8,alternator skeleton,2,Ferrari,Canada,590.45,404.63,513.68,mm,4.28,kg,207.45,eur,5.0,True
44,Benz Egypt AS35362,3,8,alternator skeleton,2,Benz,Egypt,572.95,421.16,588.71,mm,6.68,kg,182.61,eur,4.5,True
45,KTM Korea AS10908,3,8,alternator skeleton,2,KTM,Korea,574.38,397.59,589.93,mm,4.66,kg,280.68,eur,3.5,True
46,BMW Mexico AS35585,3,8,alternator skeleton,2,BMW,Mexico,564.8,415.56,545.99,mm,6.97,kg,142.28,eur,4.0,True
47,Acura Mexico AS1225,3,8,alternator skeleton,2,Acura,Mexico,579.48,352.62,616.62,mm,4.72,kg,302.39,eur,5.0,True
48,Daimler New Zealand AS38510,3,8,alternator skeleton,2,Daimler,New,592.98,420.1,538.4,mm,4.19,kg,134.22,eur,3.0,True
49,Tesla Egypt AS32479,3,8,alternator skeleton,2,Tesla,Egypt,573.63,410.38,613.95,mm,7.76,kg,200.48,eur,3.5,True
50,Honda Turkey AS29372,3,8,alternator skeleton,2,Honda,Turkey,554.23,365.33,587.35,mm,7.49,kg,150.02,eur,4.0,True
51,Mercedes Korea AS11645,3,8,alternator skeleton,2,Mercedes,Korea,560.75,384.13,636.81,mm,5.24,kg,231.12,eur,3.0,True
52,Hyundai Korea AS8450,3,8,alternator skeleton,2,Hyundai,Korea,579.24,385.94,576.18,mm,7.44,kg,274.71,eur,4.0,True
53,Ferrari Egypt AS39358,3,8,alternator skeleton,2,Ferrari,Egypt,588.24,394.27,600.87,mm,7.69,kg,187.08,eur,3.0,True
54,Hyundai Denmark AS10567,3,8,alternator skeleton,2,Hyundai,Denmark,551.19,449.43,551.92,mm,5.7,kg,281.29,eur,4.5,True
55,Daimler Brazil AS10854,3,8,alternator skeleton,2,Daimler,Brazil,555.91,379.7,628.73,mm,5.52,kg,253.43,eur,3.5,True
56,Hyundai Egypt AS4311,3,8,alternator skeleton,2,Hyundai,Egypt,551.08,431.39,644.85,mm,4.41,kg,161.98,eur,5.0,True
57,Benz Mexico AS26676,3,8,alternator skeleton,2,Benz,Mexico,559.32,412.27,634.41,mm,4.23,kg,210.21,eur,3.0,True
58,Ferrari Korea AS16623,3,8,alternator skeleton,2,Ferrari,Korea,598.12,378.51,511.79,mm,5.97,kg,213.26,eur,3.0,True
59,Volkswagen India AS31906,3,8,alternator skeleton,2,Volkswagen,India,576.09,392.16,505.68,mm,4.42,kg,211.68,eur,3.5,True
60,BMW Cuba AS2388,3,8,alternator skeleton,2,BMW,Cuba,589.76,410.97,606.84,mm,5.69,kg,263.1,eur,3.5,True
61,Benz Italy AS38660,3,8,alternator skeleton,2,Benz,Italy,565.01,407.79,559.73,mm,6.93,kg,170.14,eur,3.5,True
62,Jeep Turkey AS17276,3,8,alternator skeleton,2,Jeep,Turkey,588.99,423.03,534.61,mm,5.87,kg,287.84,eur,3.5,True
