material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,Toyota Canada AS3948,3,8,alternator skeleton,2,Toyota,Canada,0.30420000000000075,0.39083908390839067,0.9926666666666665,mm,0.03750000000000009,kg,0.9859081419624217,eur,0.25,True
2,KTM Norway AS10103,3,8,alternator skeleton,2,KTM,Norway,0.6233999999999992,0.9989998999899987,0.34413333333333335,mm,0.135,kg,0.6178670842032011,eur,0.5,True
3,Mercedes France AS30358,3,8,alternator skeleton,2,Mercedes,France,0.11779999999999972,0.6952695269526951,0.25886666666666697,mm,0.022499999999999964,kg,0.7479123173277661,eur,0.0,True
4,Mercedes Japan AS1627,3,8,alternator skeleton,2,Mercedes,Japan,0.3792000000000007,0.6106610661066106,0.21640000000000023,mm,0.9975,kg,0.21320459290187893,eur,0.5,True
5,Hyundai Japan AS4578,3,8,alternator skeleton,2,Hyundai,Japan,0.06380000000000109,0.5574557455745575,0.5042,mm,0.7324999999999999,kg,0.5571938065414057,eur,1.0,True
6,Daimler Norway AS8437,3,8,alternator skeleton,2,Daimler,Norway,0.36299999999999955,0.5043504350435044,0.22160000000000005,mm,0.7124999999999999,kg,0.3437717466945025,eur,0.25,True
7,BMW Mexico AS12514,3,8,alternator skeleton,2,BMW,Mexico,0.4157999999999993,0.05530553055305503,0.4027999999999997,mm,0.935,kg,0.22603514265831592,eur,0.25,True
8,Jeep Thailand AS5254,3,8,alternator skeleton,2,Jeep,Thailand,0.981199999999999,0.18151815181518127,0.23066666666666683,mm,0.79,kg,0.6260438413361169,eur,1.0,True
9,Lincoln Chile AS10706,3,8,alternator skeleton,2,Lincoln,Chile,0.8153999999999997,0.7937793779377937,0.4131333333333335,mm,0.99,kg,0.8325504523312457,eur,0.25,True
10,Buick Brazil AS35562,3,8,alternator skeleton,2,Buick,Brazil,0.6870000000000005,0.45264526452645254,0.17373333333333296,mm,0.855,kg,0.6614909533750871,eur,0.75,True
11,KTM Russia AS38428,3,8,alternator skeleton,2,KTM,Russia,0.8855999999999995,0.6218621862186219,0.5052666666666664,mm,0.8,kg,0.25713291579679887,eur,0.0,True
12,Daimler Switzerland AS8936,3,8,alternator skeleton,2,Daimler,Switzerland,0.6451999999999998,0.4004400440044006,0.7108,mm,0.0024999999999999467,kg,0.9423277661795407,eur,0.25,True
13,KTM Russia AS20805,3,8,alternator skeleton,2,KTM,Russia,0.8601999999999999,0.21242124212421248,0.8461999999999996,mm,0.12749999999999995,kg,0.010438413361169126,eur,0.25,True
14,Jeep New Zealand AS17121,3,8,alternator skeleton,2,Jeep,New,0.8596000000000004,0.9280928092809281,0.254533333333333,mm,0.7949999999999999,kg,0.48108037578288104,eur,0.75,True
