material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,price,currency,rank,is leaf
1,GMC Chile F23525,2,5,frame,1,GMC,Chile,1136.44,629.0,546.89,mm,82.32,kg,18140.26,eur,4.5,True
2,Ford Thailand F34591,2,5,frame,1,Ford,Thailand,1383.63,549.66,580.57,mm,89.2,kg,32455.09,eur,4.0,True
3,Honda Sweden F10982,2,5,frame,1,Honda,Sweden,1012.58,513.46,572.25,mm,75.77,kg,2810.57,eur,4.5,True
4,Volkswagen Russia F1094,2,5,frame,1,Volkswagen,Russia,1312.71,488.5,596.26,mm,88.58,kg,12914.2,eur,3.0,True
5,Ford Austria F21678,2,5,frame,1,Ford,Austria,1435.56,481.3,599.42,mm,91.47,kg,69343.58,eur,3.5,True
6,Acura Italy F6944,2,5,frame,1,Acura,Italy,1212.19,586.48,568.24,mm,79.6,kg,56671.26,eur,3.0,True
7,Daimler Japan F19229,2,5,frame,1,Daimler,Japan,1077.17,592.54,553.44,mm,80.9,kg,1620.31,eur,5.0,True
8,Ford Korea F8090,2,5,frame,1,Ford,Korea,1341.64,602.0,502.44,mm,96.27,kg,54317.19,eur,4.5,True
9,Toyota Egypt F11137,2,5,frame,1,Toyota,Egypt,1279.44,642.01,527.12,mm,102.72,kg,69011.13,eur,4.0,True
10,Lincoln Indonesia F9666,2,5,frame,1,Lincoln,Indonesia,1381.11,404.74,539.81,mm,104.28,kg,39874.55,eur,3.5,True
11,Honda Egypt F39817,2,5,frame,1,Honda,Egypt,1335.17,501.43,540.21,mm,93.57,kg,14810.13,eur,3.0,True
12,Benz USA F15594,2,5,frame,1,Benz,USA,1239.31,426.53,534.31,mm,78.5,kg,22262.72,eur,4.5,True
13,Ford Italy F21959,2,5,frame,1,Ford,Italy,1228.53,541.67,501.46,mm,78.03,kg,42148.61,eur,3.5,True
14,BYD Brazil F15326,2,5,frame,1,BYD,Brazil,1293.26,481.96,564.44,mm,99.74,kg,17734.32,eur,4.5,True
15,Honda Turkey F11391,2,5,frame,1,Honda,Turkey,1326.73,465.61,572.09,mm,75.88,kg,14095.01,eur,4.0,True
16,KTM Germany F35314,2,5,frame,1,KTM,Germany,1330.81,608.55,568.16,mm,81.31,kg,48830.85,eur,4.0,True
17,KTM Turkey F26227,2,5,frame,1,KTM,Turkey,1203.04,483.98,570.73,mm,100.52,kg,38759.48,eur,4.5,True
18,Ford Italy F8810,2,5,frame,1,Ford,Italy,1104.41,439.64,502.4,mm,80.88,kg,3145.07,eur,4.0,True
19,Volkswagen Sweden F25981,2,5,frame,1,Volkswagen,Sweden,1299.87,585.59,537.52,mm,77.7,kg,13011.31,eur,4.0,True
20,Mercedes Russia F13641,2,5,frame,1,Mercedes,Russia,1232.46,452.9,571.78,mm,81.08,kg,20572.1,eur,3.0,True
21,Acura Netherlands F35416,2,5,frame,1,Acura,Netherlands,1419.13,638.82,556.63,mm,93.96,kg,11200.61,eur,4.0,True
22,Jeep Chile F18462,2,5,frame,1,Jeep,Chile,1417.68,573.89,501.32,mm,94.86,kg,59915.4,eur,5.0,True
23,Acura Italy F37627,2,5,frame,1,Acura,Italy,1314.81,557.93,539.57,mm,87.83,kg,18841.81,eur,3.0,True
24,BMW Austria F37937,2,5,frame,1,BMW,Austria,1469.15,628.95,525.71,mm,75.51,kg,46694.66,eur,5.0,True
25,BYD Sweden F24585,2,5,frame,1,BYD,Sweden,1167.8,490.17,522.41,mm,104.68,kg,53424.91,eur,4.5,True
26,GMC Thailand F31249,2,5,frame,1,GMC,Thailand,1147.08,590.79,549.4,mm,102.85,kg,38578.25,eur,4.5,True
27,Hyundai Russia F38706,2,5,frame,1,Hyundai,Russia,1288.59,451.26,562.23,mm,83.5,kg,3660.35,eur,5.0,True
28,Benz Russia F9425,2,5,frame,1,Benz,Russia,1344.19,486.04,506.35,mm,80.49,kg,34815.9,eur,4.5,True
29,Toyota China F11987,2,5,frame,1,Toyota,China,1145.0,617.82,544.07,mm,104.07,kg,12227.65,eur,4.5,True
30,BMW Netherlands F23209,2,5,frame,1,BMW,Netherlands,1321.53,618.82,516.73,mm,88.06,kg,20458.36,eur,3.5,True
31,Ford Romania F21485,2,5,frame,1,Ford,Romania,1206.94,426.37,542.67,mm,86.74,kg,33507.89,eur,4.0,True
32,Lincoln Netherlands F20162,2,5,frame,1,Lincoln,Netherlands,1374.02,542.19,550.4,mm,81.22,kg,25060.87,eur,4.5,True
33,Acura Austria F30215,2,5,frame,1,Acura,Austria,1341.73,530.74,521.32,mm,78.4,kg,49533.19,eur,3.5,True
34,Toyota USA F8492,2,5,frame,1,Toyota,USA,1380.43,645.81,552.11,mm,91.46,kg,31226.65,eur,4.0,True
35,Ferrari Sweden F28833,2,5,frame,1,Ferrari,Sweden,1205.36,519.83,575.54,mm,80.46,kg,51587.2,eur,3.5,True
36,Mercedes New Zealand F29219,2,5,frame,1,Mercedes,New,1361.94,544.36,549.87,mm,103.62,kg,9539.38,eur,4.5,True
37,Tesla Turkey F12930,2,5,frame,1,Tesla,Turkey,1384.07,465.4,561.62,mm,95.3,kg,50651.24,eur,5.0,True
38,Ford Russia F14971,2,5,frame,1,Ford,Russia,1416.96,489.46,564.14,mm,77.75,kg,62428.93,eur,5.0,True
39,GMC Norway F4535,2,5,frame,1,GMC,Norway,1081.74,520.52,552.75,mm,81.6,kg,5198.7,eur,3.5,True
40,Toyota Germany F10082,2,5,frame,1,Toyota,Germany,1211.88,631.37,582.75,mm,90.32,kg,60766.33,eur,3.0,True
41,Jeep Denmark F11062,2,5,frame,1,Jeep,Denmark,1339.45,490.8,593.67,mm,80.92,kg,40094.6,eur,3.5,True
42,Volkswagen Brazil F38082,2,5,frame,1,Volkswagen,Brazil,1470.45,444.37,563.64,mm,87.59,kg,64601.66,eur,4.5,True
43,Hyundai Turkey F38038,2,5,frame,1,Hyundai,Turkey,1108.23,589.44,524.65,mm,87.28,kg,69198.83,eur,4.0,True
44,Tesla Cuba F33371,2,5,frame,1,Tesla,Cuba,1245.11,528.17,504.3,mm,77.98,kg,26311.88,eur,4.5,True
45,KTM Chile F9107,2,5,frame,1,KTM,Chile,1283.7,453.97,588.43,mm,89.35,kg,42720.0,eur,3.0,True
46,Benz Italy F31278,2,5,frame,1,Benz,Italy,1440.97,626.06,526.53,mm,104.0,kg,5284.45,eur,4.0,True
47,Acura Norway F29271,2,5,frame,1,Acura,Norway,1343.15,612.34,502.59,mm,80.28,kg,57982.27,eur,3.5,True
48,Honda Russia F33921,2,5,frame,1,Honda,Russia,1158.24,406.71,596.61,mm,85.08,kg,55433.0,eur,3.0,True
49,Ford New Zealand F24833,2,5,frame,1,Ford,New,1350.46,503.76,553.61,mm,102.64,kg,60460.96,eur,3.5,True
50,Buick Romania F21420,2,5,frame,1,Buick,Romania,1343.75,462.42,597.53,mm,86.95,kg,40051.82,eur,3.0,True
51,BMW Norway F8154,2,5,frame,1,BMW,Norway,1144.27,497.58,564.96,mm,97.63,kg,19263.01,eur,3.0,True
52,Lincoln Chile F4423,2,5,frame,1,Lincoln,Chile,1352.7,412.61,538.43,mm,85.43,kg,56187.83,eur,3.0,True
53,BMW Germany F8739,2,5,frame,1,BMW,Germany,1045.57,401.33,553.27,mm,75.24,kg,71783.65,eur,5.0,True
54,Buick India F30470,2,5,frame,1,Buick,India,1399.96,478.39,547.55,mm,100.52,kg,15308.3,eur,4.0,True
55,Volkswagen Brazil F17769,2,5,frame,1,Volkswagen,Brazil,1163.09,593.57,555.01,mm,89.65,kg,9993.16,eur,4.5,True
56,Jeep India F7185,2,5,frame,1,Jeep,India,1434.51,620.83,557.35,mm,88.93,kg,22857.05,eur,3.0,True
57,GMC Japan F24811,2,5,frame,1,GMC,Japan,1234.61,627.39,574.26,mm,79.7,kg,73822.38,eur,3.5,True
