material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,voltage,current,pressure,flow,price,currency,rank,is leaf
1,Daimler Mexico O23980,2,4,oil pump,1,Daimler,Mexico,567.31,343.66,392.23,mm,2.83,kg,12,2.5,300,50,354.88,eur,4.5,True
2,KTM Canada O10513,2,4,oil pump,1,KTM,Canada,557.38,372.34,421.38,mm,3.71,kg,12,2.5,300,50,592.75,eur,4.0,True
3,Ferrari Egypt O37241,2,4,oil pump,1,Ferrari,Egypt,579.47,407.57,301.74,mm,3.08,kg,12,2.5,300,80,482.86,eur,3.5,True
4,Mercedes Turkey O26935,2,4,oil pump,1,Mercedes,Turkey,565.79,336.0,415.8,mm,3.29,kg,12,3.0,300,85,442.32,eur,3.0,True
5,Mercedes France O3199,2,4,oil pump,1,Mercedes,France,562.79,390.36,337.3,mm,2.71,kg,12,3.0,300,45,499.04,eur,4.0,True
6,Hyundai Mexico O18037,2,4,oil pump,1,Hyundai,Mexico,605.49,370.45,422.07,mm,3.62,kg,12,2.5,300,80,476.6,eur,4.0,True
7,Daimler Denmark O17377,2,4,oil pump,1,Daimler,Denmark,588.43,333.09,345.59,mm,3.92,kg,12,3.0,300,80,360.1,eur,4.0,True
8,Tesla Turkey O11523,2,4,oil pump,1,Tesla,Turkey,560.36,356.53,377.27,mm,2.44,kg,12,3.0,300,75,582.42,eur,3.0,True
9,Ford Romania O3991,2,4,oil pump,1,Ford,Romania,602.47,314.69,385.68,mm,2.65,kg,12,3.0,300,50,452.44,eur,4.5,True
10,BYD India O17504,2,4,oil pump,1,BYD,India,598.82,416.13,318.87,mm,3.66,kg,12,2.5,300,85,449.02,eur,4.5,True
11,Hyundai Russia O15721,2,4,oil pump,1,Hyundai,Russia,567.07,324.63,373.18,mm,3.67,kg,12,3.0,300,85,471.96,eur,3.0,True
12,Tesla Sweden O18665,2,4,oil pump,1,Tesla,Sweden,574.02,388.5,348.92,mm,3.86,kg,12,2.5,300,45,492.32,eur,5.0,True
13,Tesla Cuba O39921,2,4,oil pump,1,Tesla,Cuba,586.54,317.13,390.03,mm,2.33,kg,12,3.0,300,50,557.73,eur,3.5,True
14,Volvo Brazil O36654,2,4,oil pump,1,Volvo,Brazil,609.25,306.06,366.06,mm,3.69,kg,12,2.5,300,70,460.69,eur,3.5,True
15,Benz India O28684,2,4,oil pump,1,Benz,India,564.93,400.9,343.16,mm,3.44,kg,12,3.0,300,80,511.57,eur,4.5,True
16,Honda Chile O18656,2,4,oil pump,1,Honda,Chile,608.54,308.52,415.86,mm,2.31,kg,12,3.0,300,80,551.37,eur,4.5,True
17,Tesla Brazil O2307,2,4,oil pump,1,Tesla,Brazil,566.37,411.0,312.95,mm,3.96,kg,12,3.0,300,50,434.29,eur,5.0,True
18,Daimler Korea O29126,2,4,oil pump,1,Daimler,Korea,594.4,350.48,319.1,mm,3.4,kg,12,3.0,300,75,428.62,eur,3.0,True
19,Acura Mexico O9610,2,4,oil pump,1,Acura,Mexico,585.88,361.44,398.7,mm,2.85,kg,12,2.5,300,45,412.78,eur,4.0,True
20,Ford Thailand O4446,2,4,oil pump,1,Ford,Thailand,579.17,308.17,407.49,mm,3.16,kg,12,2.5,300,45,562.81,eur,3.5,True
21,Acura Turkey O29735,2,4,oil pump,1,Acura,Turkey,577.39,415.28,374.26,mm,3.63,kg,12,2.5,300,65,466.23,eur,4.0,True
22,Lincoln Japan O3943,2,4,oil pump,1,Lincoln,Japan,595.94,381.84,424.79,mm,2.22,kg,12,2.5,300,65,388.92,eur,3.0,True
23,Mercedes Egypt O4629,2,4,oil pump,1,Mercedes,Egypt,600.6,346.98,422.53,mm,2.45,kg,12,3.0,300,70,558.93,eur,4.0,True
24,Volvo China O7609,2,4,oil pump,1,Volvo,China,580.9,318.32,404.33,mm,3.22,kg,12,3.0,300,75,464.41,eur,3.5,True
25,Benz Indonesia O25006,2,4,oil pump,1,Benz,Indonesia,595.26,314.71,411.73,mm,2.31,kg,12,3.0,300,65,525.84,eur,4.5,True
26,Ford Turkey O30423,2,4,oil pump,1,Ford,Turkey,601.65,388.51,410.48,mm,2.41,kg,12,2.5,300,45,546.14,eur,3.5,True
27,Buick Chile O16060,2,4,oil pump,1,Buick,Chile,561.66,370.77,422.89,mm,3.37,kg,12,2.5,300,75,573.63,eur,3.0,True
28,BYD Belgium O4860,2,4,oil pump,1,BYD,Belgium,590.72,321.99,409.56,mm,3.33,kg,12,3.0,300,85,504.04,eur,4.5,True
29,Honda Canada O13599,2,4,oil pump,1,Honda,Canada,577.26,329.72,414.76,mm,2.39,kg,12,3.0,300,75,484.07,eur,4.5,True
30,BMW USA O29264,2,4,oil pump,1,BMW,USA,601.31,310.97,327.79,mm,3.47,kg,12,3.0,300,50,546.1,eur,4.0,True
31,Daimler France O34196,2,4,oil pump,1,Daimler,France,586.88,322.14,428.39,mm,3.39,kg,12,2.5,300,75,383.26,eur,4.5,True
32,GMC Russia O24998,2,4,oil pump,1,GMC,Russia,574.31,378.91,351.1,mm,3.43,kg,12,3.0,300,75,462.99,eur,5.0,True
33,Mercedes Russia O36573,2,4,oil pump,1,Mercedes,Russia,555.99,352.81,393.44,mm,2.3,kg,12,3.0,300,65,377.79,eur,4.0,True
34,Volkswagen Sweden O28665,2,4,oil pump,1,Volkswagen,Sweden,599.82,311.05,312.2,mm,3.16,kg,12,3.0,300,70,457.34,eur,3.5,True
35,Buick Indonesia O6540,2,4,oil pump,1,Buick,Indonesia,557.1,382.76,402.1,mm,3.63,kg,12,3.0,300,50,538.73,eur,4.5,True
36,Jeep New Zealand O21621,2,4,oil pump,1,Jeep,New,574.78,322.74,347.64,mm,3.07,kg,12,3.0,300,55,358.79,eur,3.0,True
37,Buick Indonesia O4694,2,4,oil pump,1,Buick,Indonesia,554.24,415.94,322.41,mm,2.43,kg,12,3.0,300,85,516.12,eur,3.5,True
38,Volkswagen Sweden O4303,2,4,oil pump,1,Volkswagen,Sweden,550.77,325.01,408.43,mm,3.55,kg,12,3.0,300,65,371.15,eur,4.5,True
39,Daimler Russia O6238,2,4,oil pump,1,Daimler,Russia,569.27,375.64,303.43,mm,2.21,kg,12,3.0,300,75,470.0,eur,5.0,True
40,Buick Canada O34914,2,4,oil pump,1,Buick,Canada,605.28,317.78,426.88,mm,2.25,kg,12,3.0,300,75,489.96,eur,4.0,True
41,KTM Germany O7989,2,4,oil pump,1,KTM,Germany,603.61,310.21,422.32,mm,2.68,kg,12,3.0,300,55,387.83,eur,5.0,True
42,Toyota Russia O14937,2,4,oil pump,1,Toyota,Russia,588.36,353.65,374.2,mm,2.45,kg,12,2.5,300,80,549.83,eur,3.0,True
43,Benz USA O20230,2,4,oil pump,1,Benz,USA,600.81,387.31,369.15,mm,2.65,kg,12,2.5,300,70,507.96,eur,3.5,True
44,Mercedes Egypt O24190,2,4,oil pump,1,Mercedes,Egypt,585.45,321.9,383.51,mm,3.01,kg,12,2.5,300,80,352.47,eur,3.0,True
45,Benz Romania O30794,2,4,oil pump,1,Benz,Romania,588.78,331.47,335.71,mm,3.43,kg,12,2.5,300,75,457.98,eur,4.5,True
46,Benz Switzerland O8484,2,4,oil pump,1,Benz,Switzerland,570.1,404.29,376.46,mm,3.73,kg,12,2.5,300,65,558.39,eur,4.5,True
47,Mercedes Norway O17725,2,4,oil pump,1,Mercedes,Norway,582.91,409.17,314.59,mm,3.59,kg,12,2.5,300,85,398.71,eur,5.0,True
48,Honda France O23319,2,4,oil pump,1,Honda,France,562.3,407.11,411.87,mm,2.73,kg,12,2.5,300,85,413.02,eur,4.5,True
49,KTM China O13234,2,4,oil pump,1,KTM,China,552.28,372.7,401.46,mm,2.01,kg,12,3.0,300,55,387.21,eur,4.0,True
50,Benz Cuba O2200,2,4,oil pump,1,Benz,Cuba,590.78,334.95,403.12,mm,2.85,kg,12,2.5,300,55,438.48,eur,4.0,True
51,Jeep Switzerland O24828,2,4,oil pump,1,Jeep,Switzerland,559.36,408.26,325.33,mm,3.09,kg,12,3.0,300,70,585.54,eur,3.5,True
