material ID,description,level,category,category description,hierarchy category,provider,country,bore,bore type,bore type description,stroke,stroke type,stroke type description,size uom,weight,weight uom,price,currency,rank,is leaf
1,Ferrari France P12688,2,3,pistons,1,Ferrari,France,96.0,2,small,122.0,2,long,mm,2.32,kg,172.28,eur,3.5,True
2,BYD Egypt P38229,2,3,pistons,1,BYD,Egypt,107.0,2,small,112.0,2,long,mm,2.51,kg,216.69,eur,5.0,True
3,GMC Romania P28978,2,3,pistons,1,GMC,Romania,94.0,1,big,88.0,1,short,mm,3.99,kg,204.44,eur,3.5,True
4,Daimler Brazil P9801,2,3,pistons,1,Daimler,Brazil,112.0,2,small,85.0,1,short,mm,2.32,kg,325.75,eur,4.0,True
5,Mercedes Switzerland P20843,2,3,pistons,1,Mercedes,Switzerland,118.0,2,small,132.0,2,long,mm,3.63,kg,171.77,eur,3.0,True
6,BYD Belgium P22255,2,3,pistons,1,BYD,Belgium,89.0,1,big,108.0,2,long,mm,3.79,kg,231.27,eur,3.0,True
7,Toyota Austria P20205,2,3,pistons,1,Toyota,Austria,95.0,1,big,107.0,2,long,mm,3.71,kg,345.2,eur,4.0,True
8,GMC Turkey P35882,2,3,pistons,1,GMC,Turkey,81.0,1,big,103.0,2,long,mm,3.9,kg,281.71,eur,5.0,True
9,GMC India P11827,2,3,pistons,1,GMC,India,100.0,2,small,111.0,2,long,mm,3.14,kg,207.98,eur,4.5,True
10,Ford France P21099,2,3,pistons,1,Ford,France,116.0,2,small,113.0,2,long,mm,2.03,kg,259.81,eur,4.0,True
11,Ferrari Norway P28736,2,3,pistons,1,Ferrari,Norway,79.0,1,big,103.0,2,long,mm,3.21,kg,312.55,eur,4.5,True
12,Volvo Thailand P36838,2,3,pistons,1,Volvo,Thailand,87.0,1,big,87.0,1,short,mm,2.58,kg,205.24,eur,3.5,True
13,GMC Chile P27409,2,3,pistons,1,GMC,Chile,85.0,1,big,91.0,1,short,mm,3.63,kg,313.64,eur,5.0,True
14,Ford Cuba P38059,2,3,pistons,1,Ford,Cuba,106.0,2,small,113.0,2,long,mm,3.31,kg,222.45,eur,4.5,True
15,Jeep Japan P20403,2,3,pistons,1,Jeep,Japan,109.0,2,small,135.0,2,long,mm,3.57,kg,239.04,eur,3.0,True
16,Jeep Cuba P4234,2,3,pistons,1,Jeep,Cuba,74.0,1,big,87.0,1,short,mm,3.32,kg,306.16,eur,4.5,True
17,Ferrari Romania P26417,2,3,pistons,1,Ferrari,Romania,77.0,1,big,100.0,1,short,mm,3.85,kg,315.71,eur,3.5,True
18,Volkswagen Sweden P30678,2,3,pistons,1,Volkswagen,Sweden,113.0,2,small,105.0,2,long,mm,3.01,kg,171.95,eur,3.0,True
19,Jeep Korea P26934,2,3,pistons,1,Jeep,Korea,80.0,1,big,136.0,2,long,mm,2.83,kg,212.84,eur,5.0,True
20,GMC Mexico P13994,2,3,pistons,1,GMC,Mexico,116.0,2,small,137.0,2,long,mm,3.01,kg,210.34,eur,4.5,True
21,Volkswagen Egypt P20684,2,3,pistons,1,Volkswagen,Egypt,87.0,1,big,98.0,1,short,mm,2.5,kg,215.61,eur,3.0,True
22,Lincoln Netherlands P39176,2,3,pistons,1,Lincoln,Netherlands,91.0,1,big,85.0,1,short,mm,3.86,kg,282.47,eur,4.0,True
23,Buick Sweden P37361,2,3,pistons,1,Buick,Sweden,89.0,1,big,118.0,2,long,mm,3.1,kg,339.94,eur,3.5,True
24,Honda Netherlands P34965,2,3,pistons,1,Honda,Netherlands,93.0,1,big,111.0,2,long,mm,2.84,kg,291.56,eur,4.5,True
25,Volkswagen Chile P33014,2,3,pistons,1,Volkswagen,Chile,89.0,1,big,122.0,2,long,mm,3.4,kg,171.19,eur,5.0,True
26,BMW Korea P24188,2,3,pistons,1,BMW,Korea,120.0,2,small,98.0,1,short,mm,2.89,kg,342.44,eur,4.5,True
27,KTM USA P36747,2,3,pistons,1,KTM,USA,78.0,1,big,125.0,2,long,mm,2.35,kg,193.65,eur,4.5,True
28,Toyota Switzerland P30939,2,3,pistons,1,Toyota,Switzerland,118.0,2,small,88.0,1,short,mm,2.62,kg,185.15,eur,4.5,True
29,Jeep USA P37008,2,3,pistons,1,Jeep,USA,80.0,1,big,129.0,2,long,mm,3.2,kg,329.13,eur,3.0,True
30,KTM Sweden P16406,2,3,pistons,1,KTM,Sweden,104.0,2,small,105.0,2,long,mm,2.87,kg,169.17,eur,4.5,True
31,BMW Switzerland P1664,2,3,pistons,1,BMW,Switzerland,90.0,1,big,110.0,2,long,mm,2.15,kg,344.46,eur,3.5,True
32,Acura Korea P38904,2,3,pistons,1,Acura,Korea,112.0,2,small,91.0,1,short,mm,3.89,kg,305.73,eur,4.0,True
33,Mercedes Austria P38872,2,3,pistons,1,Mercedes,Austria,108.0,2,small,119.0,2,long,mm,3.82,kg,312.06,eur,5.0,True
34,Hyundai Italy P13958,2,3,pistons,1,Hyundai,Italy,97.0,2,small,85.0,1,short,mm,3.95,kg,315.78,eur,5.0,True
35,Tesla Italy P31734,2,3,pistons,1,Tesla,Italy,111.0,2,small,100.0,1,short,mm,3.62,kg,288.42,eur,3.5,True
36,Mercedes India P38431,2,3,pistons,1,Mercedes,India,87.0,1,big,137.0,2,long,mm,3.78,kg,155.91,eur,3.5,True
37,GMC China P25804,2,3,pistons,1,GMC,China,84.0,1,big,121.0,2,long,mm,3.33,kg,159.97,eur,3.5,True
38,Ford Thailand P33193,2,3,pistons,1,Ford,Thailand,85.0,1,big,107.0,2,long,mm,2.95,kg,266.82,eur,4.0,True
39,Honda Netherlands P24391,2,3,pistons,1,Honda,Netherlands,116.0,2,small,102.0,2,long,mm,2.59,kg,160.81,eur,3.5,True
40,Tesla Austria P17611,2,3,pistons,1,Tesla,Austria,114.0,2,small,95.0,1,short,mm,2.18,kg,302.49,eur,4.5,True
41,Mercedes Japan P3952,2,3,pistons,1,Mercedes,Japan,83.0,1,big,86.0,1,short,mm,3.14,kg,177.13,eur,3.5,True
42,Lincoln Switzerland P39544,2,3,pistons,1,Lincoln,Switzerland,109.0,2,small,109.0,2,long,mm,2.1,kg,184.02,eur,3.5,True
43,Acura Turkey P36109,2,3,pistons,1,Acura,Turkey,96.0,2,small,132.0,2,long,mm,2.18,kg,244.58,eur,3.0,True
44,KTM China P27903,2,3,pistons,1,KTM,China,80.0,1,big,130.0,2,long,mm,2.55,kg,291.17,eur,4.0,True
45,Hyundai Brazil P15663,2,3,pistons,1,Hyundai,Brazil,76.0,1,big,131.0,2,long,mm,2.38,kg,329.56,eur,5.0,True
46,Buick Mexico P6353,2,3,pistons,1,Buick,Mexico,110.0,2,small,123.0,2,long,mm,2.75,kg,186.64,eur,3.0,True
47,BMW France P27122,2,3,pistons,1,BMW,France,102.0,2,small,102.0,2,long,mm,2.03,kg,304.5,eur,5.0,True
48,Hyundai Romania P17142,2,3,pistons,1,Hyundai,Romania,76.0,1,big,101.0,2,long,mm,3.12,kg,220.46,eur,3.5,True
49,Mercedes Russia P30578,2,3,pistons,1,Mercedes,Russia,91.0,1,big,94.0,1,short,mm,3.27,kg,191.42,eur,4.5,True
50,GMC Korea P29637,2,3,pistons,1,GMC,Korea,112.0,2,small,128.0,2,long,mm,3.65,kg,257.98,eur,3.5,True
51,Daimler Sweden P11102,2,3,pistons,1,Daimler,Sweden,96.0,2,small,101.0,2,long,mm,3.97,kg,285.74,eur,4.5,True
52,Ford Mexico P29132,2,3,pistons,1,Ford,Mexico,105.0,2,small,136.0,2,long,mm,2.7,kg,316.33,eur,4.5,True
